Sale_YearMonth,Carlow,Cavan,Clare,Cork,Donegal,Dublin,Galway,Kerry,Kildare,Kilkenny,Laois,Leitrim,Limerick,Longford,Louth,Mayo,Meath,Monaghan,Offaly,Roscommon,Sligo,Tipperary,Waterford,Westmeath,Wexford,Wicklow
201409,108263.8889,79296.28,114582.6923,171204.5757,87493.41988,302353.1196,160982.5823,112205.5714,215569.1156,141372.6047,108121.6216,93085.29412,131566.8182,62982.35556,137437.4896,93234.4,191977.8926,109026.3158,116342.8571,67699.21053,91504.77273,108559.7015,109423.4179,120127.7105,120966.8816,270784.175
201410,136375,79005.08475,115370.7033,168265.7422,98008.75,274334.0138,157658.5294,127610.7065,226555.9581,141612.4545,113954,83085.71429,109374.9496,67724.94118,131002.3158,99434.09108,191597.5201,114326.5385,103376.9231,76508.16327,113201.7241,109112.9412,105852.8788,109457.6463,123728.6942,246071.0557
201411,101455.3571,97970.2381,111478.9773,159093.1286,90655.78947,291352.3127,167809.6348,122780.8242,209490.5109,139578.6442,105690.2174,62410.29412,108329.161,64359.375,128797.3404,87608.3697,181366.8647,106549.3182,116604.6512,70537.77778,107971.6981,98823.07692,130817.9907,107016.044,135129.1345,250985.5709
201412,115753.3973,83355.73636,114227.2933,154292.8599,82230.82772,268998.0766,138011.3869,108336.3922,203695.8719,140792.3293,93316,68920.11429,105828.9841,65242.77612,116644.4251,93200.33047,164614.4183,80819.84362,104912.7349,71857.63636,99177.46258,97151.26012,100647.8783,105611.3,117117.9679,239023.8782
201501,129481.4815,89982.17391,123497.3226,156090.4979,92978.62016,285071.1081,146990.8699,124942.0083,225817.4833,144256.4103,106969.697,92447.36842,125735,47747.77622,131236.729,92412.45848,172186.2558,88425,97944.18605,80809.15556,111713.4146,116197.925,119744.5263,125900,116782.3143,258908.209
201502,123460.9375,80250,102476.8419,152085.1919,88531.47222,289692.4268,139176.8965,111901.5215,201351.8607,140119.5652,118179.4872,83762.14286,110930.1923,71745.89744,130483.3333,97140.65854,194230.884,135375,101177.4194,73394.65957,101203.0658,90382.57568,102574.4681,95360.38961,129864.2291,216718.4615
201503,101951.6129,85746.53061,113329.1176,150882.0706,72645.8722,284421.862,146691.4406,127116.4944,173708.2554,125169.7407,102140.9349,88854.83871,128709.2508,68433.63636,123207.2368,103321.7692,197499.908,115438.7097,111615.3846,82363.63636,111013.0769,104050.9653,112319.2394,106028.7288,125924.3889,239050.7312
201504,102102.9412,88723.40426,121256.7164,164105.4413,90932.05719,278159.7592,154812.9532,122199.575,216098.1993,119496.031,120151.1628,96364.70588,104043.5179,64109.83833,121980.7692,111422.863,185822.275,104444.4444,96673.40625,71375,101467.9245,100785.7143,115229.9351,103972.6667,131476.3441,218885.2941
201505,122618,87737.2549,125743.9437,176771.5871,103732.7928,294752.0629,160513.0833,120067.3656,216677.0992,121228.6842,102894.7368,76216.07143,117047.1369,74801.37324,140557.0909,101634.0399,184140.2412,92103.44828,110970.8209,84512.38889,120234.926,98909.71247,126103.8961,112376.7667,129430.6723,226236.9237
201506,113243.1212,71056.68831,119665.4824,166938.1567,87157.8309,270972.6876,144153.5745,126836.6266,227715.7857,140596.7111,112567.2267,73734.21053,135121.907,76614.38889,139201.1034,97297.86438,181528.2736,125736.8421,102506.8824,74830.09231,101025.5636,112176.1829,118140.5905,108763.0794,127998.9008,249447.0426
201507,92812.49288,102327.2196,108363.4071,172838.8115,102465.5932,309253.2367,142744.3492,128876.0684,224945.3581,132199.6337,123490.1961,70327.58621,108718.2796,82152.17391,131347.4958,113641.7723,203308.8986,107371.2273,105851.3514,72470,113792.6818,105361,121089.1473,112467.8675,126588.5688,260764.5319
201508,125038.4615,101576.3158,92144.38144,185302.1375,104195.3012,317888.7636,171360.4206,127876.3171,219426.2569,143462.0217,116274.1935,92885.19355,131467.694,73446.42857,148632.5843,109692.3784,190704.5455,120500,110951.8857,92217.94872,124500,113049.2159,103862.8929,122313.4328,132795.2128,253770.8
201509,130234.375,80513.17,120904.617,181983.8211,94908.51792,313678.6994,161449.9922,134905.914,239820.5007,148755.255,105123.913,82385.96296,107755.1679,59980,119307.7914,100769.4727,193989.2997,119290.3226,112988.8889,92735.66915,92063.15789,121229.3103,127219.8879,126424,126973.8971,248840.3163
201510,122884,99318.49315,121422.0097,176260.4311,93590.63328,302141.6843,168201.9471,122459.0164,220206.6038,138440.9365,125353.0886,97817.07317,129220.9053,69400,153775.9562,88788.41414,207150.2814,103133.3333,115709.3023,93600.83333,103728.2609,115943.5207,130520.6186,117472.2772,124343.2596,270063.964
201511,133001.2821,94909.39683,120036.7647,189916.4419,92071.52551,281530.2154,160436.5245,123329.4902,228378.7945,147638.1593,126960.3878,76212.5,129646.7518,79880.66667,141758.3908,105427.094,195970.4523,124413.7931,113414.8727,74378.30159,101385.7143,116925.2946,133168.9273,108422.5222,126889.5161,277432.4423
201512,109839.6552,85323.35227,123609.5588,171738.6201,104768.9453,293814.1345,146002.1671,129851.0772,193317.1398,157655.5556,108810.8108,80629.62963,167771.522,86475.60976,137117.3031,92264.57692,212407.2993,103339.7436,117987.1795,74986.31159,127107.0175,113194.9536,105673.7649,113835.5181,128278.2909,257958.8105
